1996-08-01 00:00:00.000	Vins et alcools Chevalier	1996-07-16 00:00:00.000	Reims	VINET	3	51100	10248	1996-07-04 00:00:00.000	N/A	59 rue de l'Abbaye	France	5	32.3800
1996-08-16 00:00:00.000	Toms SpezialitÑten	1996-07-10 00:00:00.000	MÅnster	TOMSP	1	44087	10249	1996-07-05 00:00:00.000	N/A	Luisenstr. 48	Germany	6	11.6100
1996-08-05 00:00:00.000	Hanari Carnes	1996-07-12 00:00:00.000	Rio de Janeiro	HANAR	2	05454-876	10250	1996-07-08 00:00:00.000	RJ	Rua do Paáo, 67	Brazil	4	65.8300
1996-08-05 00:00:00.000	Victuailles en stock	1996-07-15 00:00:00.000	Lyon	VICTE	1	69004	10251	1996-07-08 00:00:00.000	N/A	2, rue du Commerce	France	3	41.3400
1996-08-06 00:00:00.000	Supràmes dÇlices	1996-07-11 00:00:00.000	Charleroi	SUPRD	2	B-6000	10252	1996-07-09 00:00:00.000	N/A	Boulevard Tirou, 255	Belgium	4	51.3000
1996-07-24 00:00:00.000	Hanari Carnes	1996-07-16 00:00:00.000	Rio de Janeiro	HANAR	2	05454-876	10253	1996-07-10 00:00:00.000	RJ	Rua do Paáo, 67	Brazil	3	58.1700
1996-08-08 00:00:00.000	Chop-suey Chinese	1996-07-23 00:00:00.000	Bern	CHOPS	2	3012	10254	1996-07-11 00:00:00.000	N/A	Hauptstr. 31	Switzerland	5	22.9800
1996-08-09 00:00:00.000	Richter Supermarkt	1996-07-15 00:00:00.000	Genäve	RICSU	3	1204	10255	1996-07-12 00:00:00.000	N/A	Starenweg 5	Switzerland	9	148.3300
1996-08-12 00:00:00.000	Wellington Importadora	1996-07-17 00:00:00.000	Resende	WELLI	2	08737-363	10256	1996-07-15 00:00:00.000	SP	Rua do Mercado, 12	Brazil	3	13.9700
1996-08-13 00:00:00.000	HILARION-Abastos	1996-07-22 00:00:00.000	San Crist¢bal	HILAA	3	5022	10257	1996-07-16 00:00:00.000	T†chira	Carrera 22 con Ave. Carlos Soublette #8-35	Venezuela	4	81.9100
1996-08-14 00:00:00.000	Ernst Handel	1996-07-23 00:00:00.000	Graz	ERNSH	1	8010	10258	1996-07-17 00:00:00.000	N/A	Kirchgasse 6	Austria	1	140.5100
1996-08-15 00:00:00.000	Centro comercial Moctezuma	1996-07-25 00:00:00.000	MÇxico D.F.	CENTC	3	05022	10259	1996-07-18 00:00:00.000	N/A	Sierras de Granada 9993	Mexico	4	3.2500
1996-08-16 00:00:00.000	Ottilies KÑseladen	1996-07-29 00:00:00.000	Kîln	OTTIK	1	50739	10260	1996-07-19 00:00:00.000	N/A	Mehrheimerstr. 369	Germany	4	55.0900
1996-08-16 00:00:00.000	Que Del°cia	1996-07-30 00:00:00.000	Rio de Janeiro	QUEDE	2	02389-673	10261	1996-07-19 00:00:00.000	RJ	Rua da Panificadora, 12	Brazil	4	3.0500
1996-08-19 00:00:00.000	Rattlesnake Canyon Grocery	1996-07-25 00:00:00.000	Albuquerque	RATTC	3	87110	10262	1996-07-22 00:00:00.000	NM	2817 Milton Dr.	USA	8	48.2900
1996-08-20 00:00:00.000	Ernst Handel	1996-07-31 00:00:00.000	Graz	ERNSH	3	8010	10263	1996-07-23 00:00:00.000	N/A	Kirchgasse 6	Austria	9	146.0600
1996-08-21 00:00:00.000	Folk och fÑ HB	1996-08-23 00:00:00.000	BrÑcke	FOLKO	3	S-844 67	10264	1996-07-24 00:00:00.000	N/A	èkergatan 24	Sweden	6	3.6700
1996-08-22 00:00:00.000	Blondel päre et fils	1996-08-12 00:00:00.000	Strasbourg	BLONP	1	67000	10265	1996-07-25 00:00:00.000	N/A	24, place KlÇber	France	2	55.2800
1996-09-06 00:00:00.000	Wartian Herkku	1996-07-31 00:00:00.000	Oulu	WARTH	3	90110	10266	1996-07-26 00:00:00.000	N/A	Torikatu 38	Finland	3	25.7300
1996-08-26 00:00:00.000	Frankenversand	1996-08-06 00:00:00.000	MÅnchen	FRANK	1	80805	10267	1996-07-29 00:00:00.000	N/A	Berliner Platz 43	Germany	4	208.5800
1996-08-27 00:00:00.000	GROSELLA-Restaurante	1996-08-02 00:00:00.000	Caracas	GROSR	3	1081	10268	1996-07-30 00:00:00.000	DF	5¶ Ave. Los Palos Grandes	Venezuela	8	66.2900
1996-08-14 00:00:00.000	White Clover Markets	1996-08-09 00:00:00.000	Seattle	WHITC	1	98124	10269	1996-07-31 00:00:00.000	WA	1029 - 12th Ave. S.	USA	5	4.5600
1996-08-29 00:00:00.000	Wartian Herkku	1996-08-02 00:00:00.000	Oulu	WARTH	1	90110	10270	1996-08-01 00:00:00.000	N/A	Torikatu 38	Finland	1	136.5400
1996-08-29 00:00:00.000	Split Rail Beer & Ale	1996-08-30 00:00:00.000	Lander	SPLIR	2	82520	10271	1996-08-01 00:00:00.000	WY	P.O. Box 555	USA	6	4.5400
1996-08-30 00:00:00.000	Rattlesnake Canyon Grocery	1996-08-06 00:00:00.000	Albuquerque	RATTC	2	87110	10272	1996-08-02 00:00:00.000	NM	2817 Milton Dr.	USA	6	98.0300
1996-09-02 00:00:00.000	QUICK-Stop	1996-08-12 00:00:00.000	Cunewalde	QUICK	3	01307	10273	1996-08-05 00:00:00.000	N/A	Taucherstra·e 10	Germany	3	76.0700
1996-09-03 00:00:00.000	Vins et alcools Chevalier	1996-08-16 00:00:00.000	Reims	VINET	1	51100	10274	1996-08-06 00:00:00.000	N/A	59 rue de l'Abbaye	France	6	6.0100
